58;IUI 2022;Harini Suresh;Intuitively Assessing ML Model Reliability through Example-Based Explanations and Editing Model Inputs
59;IUI 2022;Clara Bove;Contextualization and Exploration of Local Feature Importance Explanations to Improve Understanding and Satisfaction of Non-Expert Users
60;IUI 2022;Krzysztof Z. Gajos;Do People Engage Cognitively with AI? Impact of AI Assistance on Incidental Learning
61;IUI 2022;Jiao Sun;Investigating Explainability of Generative AI for Code through Scenario-based Design
62;IUI 2022;Jonathan Dodge;How Do People Rank Multiple Mutant Agents?
63;IUI 2021;Xinru Wang;Are Explanations Helpful? A Comparative Study of the Effects of Explanations in AI-Assisted Decision-Making
64;IUI 2021;Mahsan Nourani;Anchoring Bias Affects Mental Model Formation and User Reliance in Explainable AI Systems
65;IUI 2021;Michael Chromik;I Think I Get Your Point, AI! The Illusion of Explanatory Depth in Explainable AI
66;IUI 2021;Nyi Nyi Htun;Perception of Fairness in Group Music Recommender Systems
67;IUI 2021;Juan Rebanal;XAlgo: a Design Probe of Explaining Algorithms' Internal States via Question-Answering
68;IUI 2021;Martin Lindvall;Rapid Assisted Visual Search: Supporting Digital Pathologists with Imperfect AI
69;IUI 2020;Ahmed Alqaraawi;Evaluating Saliency Map Explanations for Convolutional Neural Networks: A User Study
70;IUI 2020;Devleena Das;Leveraging Rationales to Improve Human Task Performance
71;IUI 2020;Theresa Mai;"Keeping It ""Organized and Logical"": After-Action Review for AI (AAR/AI)"
72;IUI 2020;Alison Smith-Renner;Digging into User Control: Perceptions of Adherence and Instability in Transparent Models
73;IUI 2020;Tim Donkers;Explaining Recommendations by Means of Aspect-based Transparent Memories
74;IUI 2020;David Johnson;NJM-Vis: Interpreting Neural Joint Models in NLP
75;IUI 2020;Dustin L. Arendt;Parallel Embeddings: a Visualization Technique for Contrasting Learned Representations
76;IUI 2020;Zana Bucinca;Proxy Tasks and Subjective Measures Can Be Misleading in Evaluating Explainable AI Systems
77;IUI 2019;Jonathan Dodge;Explaining Models: An Empirical Study of How Explanations Impact Fairness Judgment
78;IUI 2019;Shi Feng;What can AI do for me? Evaluating Machine Learning Interpretations in Cooperative Play
79;IUI 2019;Carrie J. Cai;The Effects of Example-Based Explanations in a Machine Learning Interface
80;IUI 2019;Upol Ehsan;Automated Rationale Generation: A Technique for Explainable AI and its Effects on Human Perceptions
81;IUI 2019;Pigi Kouki;Personalized Explanations for Hybrid Recommender Systems
82;IUI 2019;Ludovik Coba;Decision Making Strategies Difer in the Presence of Collaborative Explanations: Two Conjoint Studies
83;IUI 2019;Martijn Millecamp;To Explain or not to Explain: the Effects of Personal Characteristics when Explaining Music Recommendations
84;IUI 2019;Chun-Hua Tsai;Explaining Recommendations in an Interactive Hybrid Social Recommender
85;IUI 2019;James Schaffer;I Can Do Better Than Your AI: Expertise and Explanations
86;IUI 2019;Vicente Dominguez;The Effect of Explanations and Algorithmic Accuracy on Visual Recommender Systems of Artistic Images
87;IUI 2019;Tianyi Li;What Data Should I Protect? Recommender and Planning Support for Data Security Analysts
88;IUI 2018;Chun-Hua Tsai;Beyond the Ranked List: User-Driven Exploration and Diversification of Social Recommendation
89;IUI 2018;Malin Eiband;Bringing Transparency Design into Practice
90;IUI 2018;Saemi Choi;FontMatcher: Font Image Paring for Harmonious Digital Graphic Design
91;IUI 2018;Oznur Alkan;Opportunity Team Builder for Sales Teams
92;IUI 2018;Sean Penney;Toward Foraging for Understanding of StarCraft Agents: An Empirical Study
93;NeurIPS 2021;Rohan Paleja;The Utility of Explainable AI in Ad Hoc Human-Machine Teaming
94;NeurIPS 2020;Karthikeyan Natesan Ramamurthy;Model Agnostic Multilevel Explanations
95;NeurIPS 2020;Jeya Vikranth Jeyakumar;How Can I Explain This to You? An Empirical Study of Deep Neural Network Explanation Methods
96;NeurIPS 2020;Julius Adebayo;Debugging Tests for Model Explanations
97;AAAI 2018;Marco Tulio Ribeiro;Anchors: High-Precision Model-Agnostic Explanations
98;2022;Ulrike Kuhl;Let's Go to the Alien Zoo: Introducing an Experimental Framework to Study Usability of Counterfactual Explanations for Machine Learning
99;AAAI 2021;Yasmeen Alufaisan;Does Explainable Artificial Intelligence Improve Human Decision-Making?
100;WWW 2018;Nina Grgić-Hlača;Human Perceptions of Fairness in Algorithmic Decision Making: A Case Study of Criminal Risk Prediction
101;2020;Peter Hase;Evaluating Explainable AI Which Algorithmic Explanations Help Users Predict Model Behavior
102;NeurIPS 2020;Chih-Kuan Yeh;On Completeness-aware Concept-Based Explanations in Deep Neural Networks
103;NeurIPS 2019;Amirata Ghorbani;Towards Automatic Concept-based Explanations
104;ICLR 2022;Tobias Leemann;Coherence Evaluation of Visual Concepts With Objects and Language
105;NuerIPS 2020;Iro Laina;Quantifying Learnability and Describability of Visual Concepts Emerging in Representation Learning
106;2018;Arjun Chandrasekaran;Do Explanations make VQA Models more Predictable to a Human?
107;CHI 2018;Reuben Binns;'It's Reducing a Human Being to a Percentage' Perceptions of Justice in Algorithmic Decisions
