Mengqi Liao;User Trust in Recommendation Systems: A comparison of Content-Based, Collaborative and Demographic Filtering;team
Michael Chromik;I Think I Get Your Point, AI! The Illusion of Explanatory Depth in Explainable AI;understanding
Nina Grgic-Hlaca;Human perceptions of fairness in algorithmic decision making: A case study of criminal risk prediction;fairness
Reuben Binns;'It's Reducing a Human Being to a Percentage' Perceptions of Justice in Algorithmic Decisions;fairness
Nyi Nyi Htun;Perception of Fairness in Group Music Recommender Systems;fairness
Paleja;The Utility of Explainable AI in Ad Hoc Human-Machine Teaming;team
Pierre Le Bras;Improving User Confidence in Concept Maps: Exploring Data Driven Explanations;usability
Pigi Kouki;Personalized Explanations for Hybrid Recommender Systems;usability
Poursabzi-Sangdeh;Manipulating and Measuring Model Interpretability;usability
Poursabzi-Sangdeh;Manipulating and Measuring Model Interpretability;team
Poursabzi-Sangdeh;Manipulating and Measuring Model Interpretability;understanding
Ramamurthy;Model Agnostic Multilevel Explanations;understanding
Ribeiro;Anchors: High-Precision Model-Agnostic Explanations;usability
Ribeiro;Anchors: High-Precision Model-Agnostic Explanations;understanding
Rohan Paleja;The Utility of Explainable AI in Ad Hoc Human-Machine Teaming;trust
Ross;Evaluating the Interpretability of Generative Models by Interactive Reconstruction;understanding
Ruoxi Shang;Why Am I Not Seeing It? Understanding Users' Needs for Counterfactual Explanations in Everyday Recommendations;usability
Saemi Choi;FontMatcher: Font Image Paring for Harmonious Digital Graphic Design;usability
Shi Feng;What can AI do for me? Evaluating Machine Learning Interpretations in Cooperative Play;team
Sixt;Do Users Benefit From Interpretable Vision? A User Study, Baseline, And Dataset;understanding
Smith-Renner;No Explainability without Accountability: An Empirical Study of Explanations and Feedback in Interactive ML;usability
Tianyi Li;What Data Should I Protect? Recommender and Planning Support for Data Security Analysts;trust
Tianyi Li;What Data Should I Protect? Recommender and Planning Support for Data Security Analysts;usability
Tim Donkers;Explaining Recommendations by Means of Aspect-based Transparent Memories;usability
Tobias Schneider;ExplAIn Yourself! Transparency for Positive UX in Autonomous Driving;usability
Ulrike Kuhl;Keep Your Friends Close and Your Counterfactuals Closer: Improved Learning From Closest Rather Than Plausible Counterfactual Explanations in an Abstract Setting;usability
Ulrike Kuhl;Let's Go to the Alien Zoo: Introducing an Experimental Framework to Study Usability of Counterfactual Explanations for Machine Learning;usability
Ulrike Kuhl;Keep Your Friends Close and Your Counterfactuals Closer: Improved Learning From Closest Rather Than Plausible Counterfactual Explanations in an Abstract Setting;understanding
Upol Ehsan;Expanding Explainability: Towards Social Transparency in AI systems;trust
Upol Ehsan;Automated Rationale Generation: A Technique for Explainable AI and its Effects on Human Perceptions;trust
Upol Ehsan;Automated Rationale Generation: A Technique for Explainable AI and its Effects on Human Perceptions;understanding
Vicente Dominguez;The Effect of Explanations and Algorithmic Accuracy on Visual Recommender Systems of Artistic Images;trust
Vicente Dominguez;The Effect of Explanations and Algorithmic Accuracy on Visual Recommender Systems of Artistic Images;usability
Vicente Dominguez;The Effect of Explanations and Algorithmic Accuracy on Visual Recommender Systems of Artistic Images;understanding
Vivian Lai;On Human Predictions with Explanations and Predictions of Machine Learning Models: A Case Study on Deception Detection;trust
Vivian Lai;“Why is ‘Chicago’ deceptive?” Towards Building Model-Driven Tutorials for Humans;team
Vivian Lai;On Human Predictions with Explanations and Predictions of Machine Learning Models: A Case Study on Deception Detection;team
Wencan Zhang;Debiased-CAM to mitigate image perturbations with faithful visual explanations of machine learning;usability
Xinru Wang;Are Explanations Helpful? A Comparative Study of the Effects of Explanations in AI-Assisted Decision-Making;trust
Xinru Wang;Are Explanations Helpful? A Comparative Study of the Effects of Explanations in AI-Assisted Decision-Making;understanding
Yasmeen Alufaisan;Does Explainable Artificial Intelligence Improve Human Decision-Making?;team
Yeh;On Completeness-aware Concept-Based Explanations in Deep Neural Networks;understanding
Yunlong Wang;Interpretable Directed Diversity: Leveraging Model Explanations for Iterative Crowd Ideation;usability
Yunlong Wang;Interpretable Directed Diversity: Leveraging Model Explanations for Iterative Crowd Ideation;understanding
Zana Buçinca;Proxy Tasks and Subjective Measures Can Be Misleading in Evaluating Explainable AI Systems;trust
Zhang (Perceptual);Towards Relatable Explainable AI with the Perceptual Process;usability
Zhang (Perceptual);Towards Relatable Explainable AI with the Perceptual Process;understanding
